Number,Name,Region,Area,Island,County,Classification,Metres,Feet,Feature,Observations,Survey,Climbed,Country,Latitude,Longitude
278,Ben Nevis [Beinn Nibheis],04A: Fort William to Loch Treig & Loch Leven,,,Highland,"Ma,M,Sim,CoH,CoU,CoA,SIB",1344.53,4411,no feature: natural ground 10m NW of trig point,man-made structure supporting emergency structure is higher,Leica NA730/Leica GS15,,S,56.796891,-5.003675
518,Ben Macdui [Beinn Macduibh],08A: Cairngorms,,,Aberdeenshire/Moray,"Ma,M,Sim,CoH,CoU,CoA",1309,4295,trig point on large platform,,,,S,57.070368,-3.669099
519,Braeriach,08A: Cairngorms,,,Aberdeenshire/Highland,"Ma,M,Sim",1296,4252,rock c 20m NE of cairn,top of rock is level with half way up the cairn. Rock 30 E of cairn is just lower. Rock 10 S of cairn at cliff edge is about the same height,Abney level,,S,57.078307,-3.728373
520,Ben Macdui North Top,08A: Cairngorms,,,Aberdeenshire/Moray,xMT,1295,4249,upright small boulder,cairn 35m NE at NN 99152 99589 is probably lower,,,S,57.076003,-3.665623
521,Cairn Toul,08A: Cairngorms,,,Aberdeenshire,"Ma,M,Sim",1291,4236,large cairn,,,,S,57.054406,-3.710774
522,Carn na Criche,08A: Cairngorms,,,Aberdeenshire,"MT,Sim",1265,4150,cairn,higher than large cairn 200m SW at NN 93780 98166,,,S,57.063181,-3.75066
523,Sgor an Lochain Uaine,08A: Cairngorms,,,Aberdeenshire,"Hu,M,Sim",1258,4127,boulder c.5m WNW of cairn,top of boulder is c.40cm higher than base of cairn,Abney level,,S,57.058367,-3.725896
524,Stob Coire Sputan Dearg,08A: Cairngorms,,,Aberdeenshire,xMT,1249,4098,boulder,higher than all boulders to N,Abney level,,S,57.066291,-3.654071
525,Cairn Gorm,08A: Cairngorms,,,Highland/Moray,"Hu,M,Sim,sMa",1244.8,4084,rock at base of large cairn,,Leica RX1250,,S,57.116714,-3.644477
526,Stob Coire an Lochain,08A: Cairngorms,,,Aberdeenshire/Highland,xMT,1235,4052,cairn,,,,S,57.076303,-3.749728
279,Aonach Beag,04A: Fort William to Loch Treig & Loch Leven,,,Highland,"Ma,M,Sim",1234,4049,cairn,,,,S,56.799998,-4.954121
280,Carn Dearg (NW) [Carn Dearg (North)],04A: Fort William to Loch Treig & Loch Leven,,,Highland,"MT,Sim",1221,4006,rock,,,,S,56.802239,-5.015965
281,Aonach Mor,04A: Fort William to Loch Treig & Loch Leven,,,Highland,"Hu,M,Sim",1220.4,4004,large cairn,,Leica RX1250,,S,56.812941,-4.961712
282,Carn Mor Dearg,04A: Fort William to Loch Treig & Loch Leven,,,Highland,"Ma,M,Sim",1220,4003,cairn,,,,S,56.805246,-4.986616
527,Cairn Lochan,08A: Cairngorms,,,Highland/Moray,"MT,Sim,sHu",1216,3990,cairn,indistinguishable in height from cairn 90m NE at NH 98579 02606,Abney level,,S,57.102725,-3.676975
141,Ben Lawers,02B: Glen Lyon to Glen Dochart & Loch Tay,,,Perth and Kinross,"Ma,M,Sim,CoH,CoU,CoA",1214,3983,trig point,rock 5m N is of very similar height,Abney level,,S,56.544922,-4.22086
283,Carn Dearg (NW) (old GR),04A: Fort William to Loch Treig & Loch Leven,,,Highland,xMT,1214,3983,rock 23m NE of cairn,cairn is at NN 15873 72109,Abney level,,S,56.804146,-5.017003
528,Stob Coire an t-Saighdeir,08A: Cairngorms,,,Aberdeenshire,"MT,Sim",1213,3980,cairn,,,,S,57.04659,-3.71137
529,Beinn a' Bhuird [Beinn a' Bhuird North Top],08B: Cairngorms,,,Aberdeenshire/Moray,"Ma,M,Sim",1197,3927,cairn,,,,S,57.08759,-3.499366
530,Sron na Lairige,08A: Cairngorms,,,Aberdeenshire/Highland,"MT,Sim",1184,3885,rock c.15m NNW of cairn,top of rock is higher than rock at base of cairn,Abney level,,S,57.084922,-3.710545
531,Beinn Mheadhoin,08A: Cairngorms,,,Moray,"Ma,M,Sim",1182.9,3881,rock tor,,obvious summit/Leica RX1250,,S,57.095849,-3.611464
803,Carn Eighe,11A: Loch Duich to Cannich,,,Highland,"Ma,M,Sim,CoH",1182.8,3881,trig point in shelter,,obvious summit/Leica RX1250,,S,57.287701,-5.115159
804,Mam Sodhail,11A: Loch Duich to Cannich,,,Highland,"Hu,M,Sim",1179.4,3869,rock by tiny cairn c 45m SE of windshelter,rock is 0.40m higher than ground by windshelter,Leica Disto D510/Leica RX1250,,S,57.279801,-5.120267
284,Carn Dearg Meadhonach,04A: Fort William to Loch Treig & Loch Leven,,,Highland,"MT,sSim",1179,3868,cairn,,obvious summit,,S,56.809798,-4.989485
532,Beinn a' Bhuird South Top,08B: Cairngorms,,,Aberdeenshire,"MT,Sim",1179,3868,granite slab,30m SW of OS spot height,Leica NA320,,S,57.069522,-3.499363
285,Stob Choire Claurigh,04A: Fort William to Loch Treig & Loch Leven,,,Highland,"Ma,M,Sim",1177,3862,cairn/shelter,,obvious summit,,S,56.823786,-4.849624
533,Beinn a' Bhuird South Top (old GR),08B: Cairngorms,,,Aberdeenshire,xMT,1177,3862,no feature: boulderfield,large flat summit area; summit is several metres NW of large cairn,,,S,57.063383,-3.501837
534,Stob Coire an t-Sneachda,08A: Cairngorms,,,Highland/Moray,"MT,Sim",1176,3858,cairn,,,,S,57.106822,-3.65875
26,Ben More,01C: Loch Lomond to Strathyre,,,Stirling,"Ma,M,Sim,CoU,CoA",1174,3852,trig point,,,,S,56.385952,-4.540087
535,Cnap a' Chleirich,08B: Cairngorms,,,Aberdeenshire/Moray,"MT,Sim",1174,3852,tor,,Abney level,,S,57.09141,-3.474269
